id,unique_key,Entry Date,Faculty,Publication Type,Year,Title,Role,Affiliation,Status,Reference,Theme,source,last_modified
1,7f59dbb797b358306f485d4734b94fe3,2025-06-30 00:00:00,Sajid Ali,Book Chapter,2025.0,Generating and Implementing Research-Informed Policies in the Global South: Lessons from Teaching License Policy in Pakistan,Main Author,IED,Published,"Ali, S., Ahmed, A., & Ahmad, S. (2025). Generating and implementing research-informed policies in the Global South: Lessons from teaching license policy in Pakistan. In D. Wyse, V. Baumfield, N. Mockler, & R. M. Reardon (Eds.), The BERA-Sage Handbook of Research-Informed Education Practice and Policy (pp. XXX-XXX). SAGE Publications.",,csv,2025-08-15T06:24:18+00:00
2,1b6515bc5ad48cc16683dadf02fd5dbd,2025-06-30 00:00:00,Sohail Ahmad,Book Chapter,2025.0,Generating and Implementing Research-Informed Policies in the Global South: Lessons from Teaching License Policy in Pakistan,Secondary Author,Alumni/Student,Published,"Ali, S., Ahmed, A., & Ahmad, S. (2025). Generating and implementing research-informed policies in the Global South: Lessons from teaching license policy in Pakistan. In D. Wyse, V. Baumfield, N. Mockler, & R. M. Reardon (Eds.), The BERA-Sage Handbook of Research-Informed Education Practice and Policy (pp. XXX-XXX). SAGE Publications.",,csv,2025-08-15T06:24:18+00:00
3,1f6146839032410cb76d6e1bd23fe947,2025-06-30 00:00:00,Afaq Ahmed,Book Chapter,2025.0,Generating and Implementing Research-Informed Policies in the Global South: Lessons from Teaching License Policy in Pakistan,Secondary Author,Alumni/Student,Published,"Ali, S., Ahmed, A., & Ahmad, S. (2025). Generating and implementing research-informed policies in the Global South: Lessons from teaching license policy in Pakistan. In D. Wyse, V. Baumfield, N. Mockler, & R. M. Reardon (Eds.), The BERA-Sage Handbook of Research-Informed Education Practice and Policy (pp. XXX-XXX). SAGE Publications.",,csv,2025-08-15T06:24:18+00:00
4,755d7cd28971e8b9c3c2ec9859aa5a34,2025-06-23 00:00:00,Aisha Naz Ansari,Article,2025.0,Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South,Main Author,IED,Published,"Ansari, A. N., Bhutta, S. M., & Ahmad, S. (2025). Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South. International Journal of Educational Reform, 0(0). https://doi.org/10.1177/10567879251345781",,csv,2025-08-15T06:24:18+00:00
5,390834a724c852180ae742c92a9adb68,2025-06-23 00:00:00,Sohail Ahmad,Article,2025.0,Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South,Secondary Author,Alumni/Student,Published,"Ansari, A. N., Bhutta, S. M., & Ahmad, S. (2025). Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South. International Journal of Educational Reform, 0(0). https://doi.org/10.1177/10567879251345781",,csv,2025-08-15T06:24:18+00:00
6,d466cbd6040c0259c4de7b5f595f8682,2025-06-23 00:00:00,Sadia Muzaffar Bhutta,Article,2025.0,Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South,Main Author,IED,Published,,,csv,2025-08-15T06:24:18+00:00
7,a063ccb0bf9ec784fec54bfde330cc7e,2025-05-27 00:00:00,Nazim Aman,Article,2025.0,مسلم فکری روایات اور مدینہ فاضلہ کے مبادیات: جلال الدین دوانی کی اخلاق جلالی کے تناظر میں ایک مطالعہ,Secondary Author,IED,Published,"Nazir, M., Hunzai, N. A., & Mirza, F. Z. (2025). A Discourse on Madina Fāzila, Virtuous State, in Muslim Thought: An Overview of Jalāl-Al-Dīn Muḥammad Davānī’s Aḵlāq-e-Jalālī. Makhz (Research Journal), 6(2), 166–197. https://doi.org/10.47205/makhz.2025(6-II)urdu-14",,csv,2025-08-15T06:24:18+00:00
8,60a5efe793b29bdc282f19b0a5ecee69,2025-05-27 00:00:00,Muhammad Nazir,Article,2025.0,مسلم فکری روایات اور مدینہ فاضلہ کے مبادیات: جلال الدین دوانی کی اخلاق جلالی کے تناظر میں ایک مطالعہ,Main Author,External,Published,"Nazir, M., Hunzai, N. A., & Mirza, F. Z. (2025). A Discourse on Madina Fāzila, Virtuous State, in Muslim Thought: An Overview of Jalāl-Al-Dīn Muḥammad Davānī’s Aḵlāq-e-Jalālī. Makhz (Research Journal), 6(2), 166–197. https://doi.org/10.47205/makhz.2025(6-II)urdu-14",,csv,2025-08-15T06:24:18+00:00
9,b603769bdc7774d51e72c2dbd4416935,2025-05-27 00:00:00,Faizeh Zehra Mirza,Article,2025.0,مسلم فکری روایات اور مدینہ فاضلہ کے مبادیات: جلال الدین دوانی کی اخلاق جلالی کے تناظر میں ایک مطالعہ,Secondary Author,External,Published,"Nazir, M., Hunzai, N. A., & Mirza, F. Z. (2025). A Discourse on Madina Fāzila, Virtuous State, in Muslim Thought: An Overview of Jalāl-Al-Dīn Muḥammad Davānī’s Aḵlāq-e-Jalālī. Makhz (Research Journal), 6(2), 166–197. https://doi.org/10.47205/makhz.2025(6-II)urdu-14",,csv,2025-08-15T06:24:18+00:00
10,415b7720659613042d403d9770cceff7,2025-05-23 00:00:00,Aisha Naz,Book Chapter,2025.0,Malaise of Artificial Intelligence in Education: A Reflective Stance,Main Author,IED,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,csv,2025-08-15T06:24:18+00:00
