Entry Date,Faculty,Publication Type,Year,Title,Role,Affiliation,Status,Reference,Theme,,,,,,,,,,,,,,,,
2025-06-30,Sajid Ali,Book Chapter,2025,Generating and Implementing Research-Informed Policies in the Global South: Lessons from Teaching License Policy in Pakistan,Main Author,IED,Published,"Ali, S., Ahmed, A., & Ahmad, S. (2025). Generating and implementing research-informed policies in the Global South: Lessons from teaching license policy in Pakistan. In D. Wyse, V. Baumfield, N. Mockler, & R. M. Reardon (Eds.), The BERA-Sage Handbook of Research-Informed Education Practice and Policy (pp. XXX-XXX). SAGE Publications.",,,,,,,,,,,,,,,,,
2025-06-30,Sohail Ahmad,Book Chapter,2025,Generating and Implementing Research-Informed Policies in the Global South: Lessons from Teaching License Policy in Pakistan,Secondary Author,Alumni/Student,Published,"Ali, S., Ahmed, A., & Ahmad, S. (2025). Generating and implementing research-informed policies in the Global South: Lessons from teaching license policy in Pakistan. In D. Wyse, V. Baumfield, N. Mockler, & R. M. Reardon (Eds.), The BERA-Sage Handbook of Research-Informed Education Practice and Policy (pp. XXX-XXX). SAGE Publications.",,,,,,,,,,,,,,,,,
2025-06-30,Afaq Ahmed,Book Chapter,2025,Generating and Implementing Research-Informed Policies in the Global South: Lessons from Teaching License Policy in Pakistan,Secondary Author,Alumni/Student,Published,"Ali, S., Ahmed, A., & Ahmad, S. (2025). Generating and implementing research-informed policies in the Global South: Lessons from teaching license policy in Pakistan. In D. Wyse, V. Baumfield, N. Mockler, & R. M. Reardon (Eds.), The BERA-Sage Handbook of Research-Informed Education Practice and Policy (pp. XXX-XXX). SAGE Publications.",,,,,,,,,,,,,,,,,
2025-06-23,Aisha Naz Ansari,Article,2025,Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South,Main Author,IED,Published,"Ansari, A. N., Bhutta, S. M., & Ahmad, S. (2025). Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South. International Journal of Educational Reform, 0(0). https://doi.org/10.1177/10567879251345781",,,,,,,,,,,,,,,,,
2025-06-23,Sohail Ahmad,Article,2025,Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South,Secondary Author,Alumni/Student,Published,"Ansari, A. N., Bhutta, S. M., & Ahmad, S. (2025). Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South. International Journal of Educational Reform, 0(0). https://doi.org/10.1177/10567879251345781",,,,,,,,,,,,,,,,,
2025-06-23,Sadia Muzaffar Bhutta,Article,2025,Towards the Era of Systematic Reviews in Education: Promoting Evidence-Informed Decisions in the Global South,Main Author,IED,Published,,,,,,,,,,,,,,,,,,
2025-05-27,Nazim Aman,Article,2025,مسلم فکری روایات اور مدینہ فاضلہ کے مبادیات: جلال الدین دوانی کی اخلاق جلالی کے تناظر میں ایک مطالعہ,Secondary Author,IED,Published,"Nazir, M., Hunzai, N. A., & Mirza, F. Z. (2025). A Discourse on Madina Fāzila, Virtuous State, in Muslim Thought: An Overview of Jalāl-Al-Dīn Muḥammad Davānī’s Aḵlāq-e-Jalālī. Makhz (Research Journal), 6(2), 166–197. https://doi.org/10.47205/makhz.2025(6-II)urdu-14",,,,,,,,,,,,,,,,,
2025-05-27,Muhammad Nazir,Article,2025,مسلم فکری روایات اور مدینہ فاضلہ کے مبادیات: جلال الدین دوانی کی اخلاق جلالی کے تناظر میں ایک مطالعہ,Main Author,External,Published,"Nazir, M., Hunzai, N. A., & Mirza, F. Z. (2025). A Discourse on Madina Fāzila, Virtuous State, in Muslim Thought: An Overview of Jalāl-Al-Dīn Muḥammad Davānī’s Aḵlāq-e-Jalālī. Makhz (Research Journal), 6(2), 166–197. https://doi.org/10.47205/makhz.2025(6-II)urdu-14",,,,,,,,,,,,,,,,,
2025-05-27,Faizeh Zehra Mirza,Article,2025,مسلم فکری روایات اور مدینہ فاضلہ کے مبادیات: جلال الدین دوانی کی اخلاق جلالی کے تناظر میں ایک مطالعہ,Secondary Author,External,Published,"Nazir, M., Hunzai, N. A., & Mirza, F. Z. (2025). A Discourse on Madina Fāzila, Virtuous State, in Muslim Thought: An Overview of Jalāl-Al-Dīn Muḥammad Davānī’s Aḵlāq-e-Jalālī. Makhz (Research Journal), 6(2), 166–197. https://doi.org/10.47205/makhz.2025(6-II)urdu-14",,,,,,,,,,,,,,,,,
2025-05-23,Aisha Naz,Book Chapter,2025,"Malaise of Artificial Intelligence in Education: A Reflective Stance
",Main Author,IED,Published,"Ansari, A. N., Panjwani, F., Ahmad, S., & Bhutta, S. M. (2025). Malaise of Artificial Intelligence in Education: A Reflective Stance. In M. Kessinger, G. Nelson, L. Lennex, & K. Nettleton (Eds.), Examining AI Disruption in Educational Settings: Challenges and Opportunities (pp. 359-380). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3693-7873-1.ch013",,,,,,,,,,,,,,,,,
